dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.934828,2.840939,0.002500,0.100000,2.000000,40.000000,0.000299
0.050000,1.934538,2.840939,0.002790,0.005798,-1.884034,-77.680675,0.000009
0.050000,1.946311,2.840936,0.014563,0.235458,4.593187,129.544419,6.282713
0.050000,1.963141,2.840922,0.031392,0.336585,2.022545,-51.412848,6.282042
0.050000,1.984784,2.840888,0.053036,0.432869,1.925692,-1.937065,6.281186
0.050000,2.011246,2.840822,0.079498,0.529242,1.927455,0.035270,6.280148
0.050000,2.042532,2.840708,0.110784,0.625723,1.929617,0.043247,6.278934
0.050000,2.078648,2.840529,0.146900,0.722331,1.932152,0.050690,6.277551
0.050000,2.119602,2.840267,0.187855,0.819086,1.935105,0.059066,6.276005
0.050000,2.165400,2.839899,0.233655,0.916007,1.938426,0.066423,6.274305
0.050000,2.216054,2.839402,0.284311,1.013115,1.942152,0.074509,6.272461
0.050000,2.271571,2.838751,0.339832,1.110428,1.946266,0.082282,6.270483
0.050000,2.331964,2.837920,0.400230,1.207966,1.950756,0.089810,6.268381
0.050000,2.397243,2.836881,0.465518,1.305749,1.955653,0.097922,6.266168
0.050000,2.467421,2.835606,0.535708,1.403795,1.960925,0.105451,6.263858
0.050000,2.542512,2.834064,0.610814,1.502124,1.966577,0.113034,6.261464
0.050000,2.622528,2.832226,0.690852,1.600755,1.972628,0.121020,6.259002
0.050000,2.707486,2.830064,0.775837,1.699708,1.979052,0.128475,6.256488
0.050000,2.797401,2.827547,0.865787,1.798999,1.985834,0.135647,6.253938
0.050000,2.892289,2.824648,0.960719,1.898650,1.993008,0.143479,6.251370
0.050000,2.992168,2.821340,1.060653,1.998678,2.000565,0.151148,6.248804
0.050000,3.097057,2.817597,1.165608,2.099102,2.008479,0.158283,6.246259
0.050000,3.206973,2.813397,1.275605,2.199939,2.016743,0.165271,6.243756
0.050000,3.321939,2.808720,1.390666,2.301209,2.025391,0.172967,6.241317
0.050000,3.441974,2.803548,1.510812,2.402929,2.034411,0.180387,6.238963
0.050000,3.567101,2.797868,1.636068,2.505118,2.043774,0.187267,6.236719
0.050000,3.697343,2.791671,1.766458,2.607793,2.053503,0.194578,6.234609
0.050000,3.832725,2.784954,1.902007,2.710973,2.063605,0.202034,6.232657
0.050000,3.973273,2.777719,2.042740,2.814676,2.074054,0.208979,6.230891
0.050000,4.119013,2.769974,2.188686,2.918920,2.084886,0.216656,6.229337
0.050000,4.269975,2.761734,2.339873,3.023725,2.096093,0.224132,6.228023
0.050000,4.426188,2.753022,2.496328,3.129108,2.107669,0.231519,6.226979
0.050000,4.587683,2.743870,2.658083,3.235091,2.119647,0.239551,6.226233
0.050000,4.754494,2.734320,2.825167,3.341692,2.132014,0.247357,6.225818
0.050000,4.926657,2.724423,2.997614,3.448931,2.144798,0.255669,6.225765
0.050000,5.104207,2.714241,3.175455,3.556832,2.158004,0.264123,6.226106
0.050000,5.287182,2.703850,3.358726,3.665414,2.171649,0.272897,6.226877
0.050000,5.475625,2.693337,3.547461,3.774701,2.185748,0.281985,6.228112
0.050000,5.669575,2.682806,3.741697,3.884717,2.200314,0.291320,6.229848
0.050000,5.869076,2.672374,3.941471,3.995485,2.215365,0.301025,6.232122
0.050000,6.074175,2.662177,4.146823,4.107031,2.230905,0.310802,6.234974
0.050000,6.284915,2.652365,4.357792,4.219378,2.246956,0.321017,6.238443
0.050000,6.501345,2.643112,4.574419,4.332553,2.263497,0.330822,6.242571
0.050000,6.723512,2.634610,4.796748,4.446581,2.280558,0.341204,6.247400
0.050000,6.951461,2.627074,5.024823,4.561485,2.298070,0.350251,6.252974
0.050000,7.185240,2.620741,5.258687,4.677288,2.316070,0.360002,6.259339
0.050000,7.424891,2.615875,5.498387,4.794010,2.334429,0.367185,6.266540
0.050000,7.670455,2.612765,5.743971,4.911667,2.353136,0.374130,6.274624
0.050000,7.921966,2.611730,5.995484,5.030270,2.372061,0.378496,0.000453
0.050000,8.179453,2.613116,6.252975,5.149822,2.391043,0.379640,0.010445
0.050000,8.442936,2.617303,6.516491,5.270319,2.409937,0.377890,0.021463
0.050000,8.712422,2.624699,6.786078,5.391742,2.428469,0.370642,0.033551
0.050000,8.987903,2.635747,7.061781,5.514060,2.446366,0.357928,0.046756
0.050000,9.269356,2.650923,7.343643,5.637223,2.463250,0.337692,0.061120
0.050000,9.556731,2.670733,7.631700,5.761158,2.478710,0.309195,0.076681
0.050000,9.849957,2.695718,7.925989,5.885767,2.492171,0.269218,0.093473
0.050000,10.148928,2.726448,8.226535,6.010922,2.503107,0.218726,0.111523
0.050000,10.453504,2.763517,8.533358,6.136467,2.510896,0.155765,0.130851
0.050000,10.763503,2.807546,8.846469,6.262204,2.514748,0.077051,0.151467
