dt,position,velocity,acceleration
0.05,0.0025,0.1,2
0.05,0.00279,0.005798,-1.884034
0.05,0.015526,0.25472,4.978437
0.05,0.033697,0.363415,2.173902
0.05,0.057053,0.46713,2.074305
0.05,0.085591,0.570757,2.072541
0.05,0.119305,0.674277,2.070392
0.05,0.158188,0.777669,2.067831
0.05,0.202234,0.880914,2.064907
0.05,0.251434,0.983992,2.061566
0.05,0.305778,1.086885,2.057849
0.05,0.365257,1.189572,2.053741
0.05,0.429858,1.292033,2.04923
0.05,0.499571,1.394251,2.044351
0.05,0.574381,1.496205,2.039075
0.05,0.654275,1.597875,2.033409
0.05,0.739237,1.699244,2.027379
0.05,0.829252,1.800292,2.020962
0.05,0.924301,1.901,2.014148
0.05,1.024369,2.001348,2.006978
0.05,1.129435,2.101321,1.999448
0.05,1.23948,2.200898,1.991536
0.05,1.354483,2.30006,1.983239
0.05,1.474422,2.398789,1.974599
0.05,1.599276,2.49707,1.965604
0.05,1.72902,2.594881,1.956228
0.05,1.86363,2.692206,1.946495
0.05,2.003081,2.789026,1.936408
0.05,2.147348,2.885323,1.925938
0.05,2.296402,2.981079,1.915115
0.05,2.450215,3.076275,1.903917
0.05,2.60876,3.170891,1.892328
0.05,2.772005,3.264909,1.880361
0.05,2.939921,3.358309,1.867986
0.05,3.112474,3.451069,1.855204
0.05,3.289633,3.543169,1.841996
0.05,3.471362,3.634586,1.828348
0.05,3.657627,3.725298,1.814247
0.05,3.848391,3.815282,1.799675
0.05,4.043617,3.904513,1.784622
0.05,4.243265,3.992967,1.769069
0.05,4.447296,4.080618,1.753021
0.05,4.655668,4.16744,1.736454
0.05,4.868338,4.253411,1.719407
0.05,5.085263,4.338503,1.701848
0.05,5.306398,4.422697,1.683875
0.05,5.531697,4.50597,1.665463
0.05,5.761112,4.588307,1.646747
0.05,5.994597,4.669698,1.627811
0.05,6.232104,4.750137,1.608777
0.05,6.473585,4.82963,1.58987
0.05,6.718995,4.908195,1.571292
0.05,6.968288,4.985863,1.553361
0.05,7.221423,5.062684,1.536431
0.05,7.478359,5.138732,1.520956
0.05,7.739064,5.214102,1.507395
0.05,8.00351,5.288921,1.496388
0.05,8.271678,5.363352,1.488622
0.05,8.543557,5.437589,1.484741
0.05,8.81915,5.511861,1.485432
0.05,9.098473,5.586445,1.491686
0.05,9.381555,5.661638,1.503851
0.05,9.668444,5.737784,1.522917
0.05,9.959205,5.815231,1.548943
0.05,10.352948,7.874862,41.19263
0.05,10.774009,8.421202,10.9268
0.05,11.185691,8.233653,-3.750979
0.05,11.586467,8.015519,-4.362687
0.05,11.976114,7.792932,-4.451741
0.05,12.354965,7.577032,-4.318011
0.05,12.723336,7.36742,-4.192225
0.05,13.081156,7.15639,-4.220602
0.05,13.427758,6.93205,-4.486811
0.05,13.761795,6.680728,-5.02643
0.05,14.081308,6.390259,-5.809373
0.05,14.384147,6.056789,-6.669413
0.05,14.669029,5.697634,-7.183088
0.05,14.937401,5.36745,-6.603683
0.05,15.195344,5.158857,-4.171863
0.05,15.453355,5.160206,0.026976
0.05,15.721064,5.354185,3.879573
0.05,16.004195,5.662628,6.168864
0.05,16.325889,6.433873,15.424902
0.05,16.654262,6.567461,2.67176
0.05,16.980457,6.5239,-0.871221
0.05,17.306219,6.515239,-0.173208
0.05,17.63348,6.545232,0.599845
0.05,17.964119,6.61278,1.350966
0.05,18.299733,6.712266,1.989721
0.05,18.641498,6.835309,2.460869
0.05,18.990145,6.972942,2.752646
0.05,19.346013,7.11736,2.888366
0.05,19.709154,7.262819,2.909186
0.05,20.079443,7.405778,2.859179
0.05,20.456672,7.544572,2.775878
0.05,20.840619,7.678946,2.687474
0.05,21.231099,7.809597,2.613031
0.05,21.62799,7.937811,2.564268
0.05,22.031248,8.065174,2.547268
0.05,22.440917,8.19337,2.563922
0.05,22.857116,8.323986,2.612309
0.05,23.28003,8.458282,2.685919
0.05,23.707664,8.552675,1.887874
0.05,24.095533,7.757386,-15.905793
0.05,24.40951,6.279538,-29.556956
0.05,24.729926,6.408322,2.575689
0.05,25.056923,6.539937,2.6323
0.05,25.39003,6.662146,2.444163
0.05,25.728507,6.769535,2.147796
0.05,26.071571,6.86127,1.834699
0.05,26.418523,6.939047,1.555541
0.05,26.768808,7.0057,1.33305
0.05,27.122024,7.06432,1.172396
0.05,27.477912,7.117755,1.068709
0.05,27.836326,7.168277,1.010434
0.05,28.197191,7.2173,0.980456
0.05,28.560444,7.265065,0.955301
0.05,28.92596,7.310319,0.905079
0.05,29.293462,7.350047,0.794561
0.05,29.662429,7.379347,0.585999
0.05,30.032018,7.39178,0.248667
0.05,30.401032,7.380273,-0.230149
0.05,30.76796,7.338564,-0.834178
0.05,31.131107,7.262934,-1.512602
0.05,31.488767,7.153206,-2.194548
0.05,31.839422,7.013096,-2.8022
